time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth	v_ground_truth	yaw_groundtruth	yawrate_groundtruth
1477010443000000	0.312243	0.58034	0	0	0	lidar	1.78006e-306	0.312243	0.58034	0.6	0.6	5.19994	0	0	0	0.00691132
1477010443050000	0.735008	0.629142	7.21178	2.795e-017	4.4424e-017	radar	74.4774	0.862916	0.534212	0.859997	0.600045	5.19975	0.00179686	5.19975	0.000345566	0.0138215
1477010443100000	1.16051	0.494921	7.2149	-0.127131	-0.0118476	lidar	0.220628	1.17385	0.481073	1.11998	0.600225	5.19943	0.00538996	5.19943	0.00103664	0.0207296
1477010443150000	1.25787	0.53314	7.1998	0.122279	0.0305126	radar	1.82547	0.969149	0.397513	1.37996	0.600629	5.19898	0.0107781	5.19899	0.00207312	0.0276344
1477010443200000	1.61596	0.595331	7.21355	0.161263	0.0462054	lidar	0.166701	1.65063	0.62469	1.6399	0.601347	5.19839	0.0179597	5.19843	0.00345484	0.0345348
1477010443250000	1.85116	0.562258	5.9961	0.0268453	-0.227217	radar	7.52421	1.62331	0.499091	1.89982	0.60247	5.19766	0.0269323	5.19773	0.00518158	0.0414297
1477010443300000	2.16248	0.591836	5.99603	0.0414668	-0.172345	lidar	0.25138	2.18882	0.648739	2.1597	0.604086	5.19678	0.0376932	5.19691	0.00725307	0.0483182
1477010443350000	2.37819	0.63827	5.57704	0.0602018	-0.311302	radar	5.98965	1.96701	0.557117	2.41954	0.606284	5.19573	0.0502389	5.19597	0.00966898	0.0551989
1477010443400000	2.65447	0.656006	5.57532	0.0494332	-0.293322	lidar	0.00610899	2.65526	0.66598	2.67932	0.609155	5.1945	0.0645654	5.19491	0.0124289	0.062071
1477010443450000	2.92091	0.650007	5.50816	0.00353324	-0.437536	radar	0.331378	2.92034	0.645898	2.93904	0.612786	5.19309	0.080668	5.19372	0.0155325	0.0689333
1477010443500000	3.15585	0.646498	5.46306	-0.00949247	-0.40721	lidar	1.16145	3.01222	0.637046	3.19869	0.617267	5.19147	0.0985415	5.19241	0.0189791	0.0757847
1477010443550000	3.44188	0.542497	5.50058	-0.158791	-0.826659	radar	1.32882	3.56096	0.485311	3.45825	0.622685	5.18963	0.11818	5.19097	0.0227684	0.0826241
1477010443600000	3.74524	0.429778	5.57475	-0.280066	-1.05966	lidar	2.1639	3.89365	0.311793	3.71772	0.62913	5.18754	0.139576	5.18942	0.0268996	0.0894504
1477010443650000	4.02542	0.514573	5.54051	-0.14168	-0.533412	radar	4.08543	4.19786	0.698311	3.97708	0.636689	5.18519	0.162724	5.18775	0.0313721	0.0962627
1477010443700000	4.29899	0.507114	5.51966	-0.134385	-0.450935	lidar	0.344985	4.30935	0.578564	4.23632	0.645449	5.18256	0.187614	5.18595	0.0361852	0.10306
1477010443750000	4.55817	0.546191	5.41286	-0.0900436	-0.304031	radar	1.89276	4.61908	0.68951	4.49542	0.655498	5.17962	0.214238	5.18405	0.0413382	0.10984
1477010443800000	4.74383	0.656047	5.22545	0.013854	-0.0541328	lidar	12.3811	4.35143	0.899174	4.75437	0.666921	5.17634	0.242587	5.18202	0.0468302	0.116604
1477010443850000	4.99505	0.655474	5.14038	0.00632673	-0.0635263	radar	1.47841	5.20901	0.66599	5.01315	0.679804	5.1727	0.272649	5.17988	0.0526604	0.123349
1477010443900000	5.29463	0.650254	5.20416	-0.00349161	-0.0760995	lidar	2.67142	5.51894	0.648233	5.27175	0.694234	5.16867	0.304413	5.17763	0.0588279	0.130074
1477010443950000	5.5538	0.656643	5.26015	0.000459608	-0.0616374	radar	1.84816	5.22834	0.639362	5.53013	0.710295	5.16422	0.337868	5.17526	0.0653316	0.136779
1477010444000000	5.84801	0.671502	5.30333	0.00689263	-0.0460944	lidar	1.67997	6.022	0.708619	5.78828	0.728072	5.15932	0.372999	5.17279	0.0721706	0.143463
1477010444050000	6.08945	0.598685	5.2056	-0.0462146	-0.127863	radar	3.49393	5.89392	0.373584	6.04618	0.747647	5.15393	0.409793	5.1702	0.0793437	0.150124
1477010444100000	6.34323	0.711279	5.17971	0.0279944	-0.00499025	lidar	3.83332	6.34249	0.948833	6.30379	0.769103	5.14803	0.448233	5.16751	0.0868499	0.156761
1477010444150000	6.59318	0.74258	5.13528	0.0424279	0.016329	radar	0.446777	6.62134	0.836138	6.5611	0.792523	5.14157	0.488305	5.16471	0.0946879	0.163373
1477010444200000	6.83924	0.741039	5.12172	0.036144	0.00644986	lidar	0.217275	6.78214	0.714036	6.81808	0.817988	5.13452	0.52999	5.1618	0.102857	0.169959
1477010444250000	7.08082	0.724886	5.01062	0.0211895	-0.0151857	radar	2.44056	7.29121	0.630741	7.07469	0.845578	5.12685	0.573269	5.1588	0.111355	0.176519
1477010444300000	7.29779	0.807941	4.95926	0.0648203	0.0439222	lidar	2.88653	7.13735	0.957217	7.3309	0.875373	5.11851	0.618123	5.15569	0.120181	0.183051
1477010444350000	7.59302	0.818608	5.13009	0.0630371	0.0388366	radar	4.92931	8.08349	0.819605	7.58668	0.907449	5.10946	0.664531	5.15249	0.129333	0.189554
1477010444400000	7.84351	0.797919	5.12212	0.0455424	0.0143746	lidar	0.478912	7.80533	0.719126	7.84199	0.941886	5.09966	0.712469	5.14919	0.138811	0.196027
1477010444450000	8.09215	0.815251	5.03884	0.0487645	0.0167296	radar	2.21881	8.40453	0.884557	8.0968	0.978759	5.08907	0.761915	5.1458	0.148612	0.202468
1477010444500000	8.3285	0.833028	5.01693	0.052828	0.0208207	lidar	0.345656	8.24796	0.840322	8.35106	1.01814	5.07766	0.812843	5.14231	0.158735	0.208879
1477010444550000	8.60001	0.919011	5.16588	0.0901783	0.0656177	radar	7.08806	8.45858	1.41118	8.60472	1.06011	5.06537	0.865226	5.13873	0.169179	0.215255
1477010444600000	8.83819	0.978046	5.14012	0.111409	0.0872696	lidar	0.784817	8.74615	1.04858	8.85775	1.10473	5.05216	0.919037	5.13507	0.179942	0.221599
1477010444650000	9.1291	1.01604	5.21019	0.118649	0.0902912	radar	6.80437	9.8809	1.1419	9.1101	1.15208	5.03798	0.974245	5.13132	0.191022	0.227907
1477010444700000	9.36705	1.05009	5.18035	0.125274	0.093019	lidar	0.650378	9.25579	1.04913	9.36172	1.20223	5.0228	1.03082	5.12748	0.202417	0.234179
1477010444750000	9.64757	1.12149	5.24491	0.14686	0.112777	radar	4.51131	10.1016	1.52474	9.61255	1.25524	5.00656	1.08873	5.12357	0.214126	0.240414
1477010444800000	9.92333	1.24884	5.28309	0.192574	0.15975	lidar	3.28959	10.0484	1.44598	9.86254	1.31118	4.98922	1.14794	5.11958	0.226147	0.246611
1477010444850000	10.1705	1.33617	5.18024	0.218964	0.18274	radar	4.9363	10.5377	1.72555	10.1117	1.37011	4.97074	1.20841	5.11551	0.238478	0.252769
1477010444900000	10.3945	1.41786	5.14429	0.240856	0.198139	lidar	1.24018	10.2492	1.45907	10.3598	1.4321	4.95106	1.2701	5.11138	0.251116	0.258887
1477010444950000	10.6248	1.49851	5.01285	0.262422	0.214051	radar	3.73604	10.9084	1.70343	10.6069	1.49721	4.93014	1.33298	5.10716	0.26406	0.264964
1477010445000000	10.8477	1.53236	4.97592	0.259924	0.198842	lidar	1.09509	10.7313	1.45265	10.853	1.56549	4.90794	1.39701	5.10289	0.277309	0.271
1477010445050000	11.1147	1.58375	5.05007	0.260707	0.186976	radar	2.06526	11.4783	1.42876	11.0979	1.637	4.8844	1.46213	5.09855	0.290859	0.276993
1477010445100000	11.3945	1.63346	5.09716	0.259617	0.174225	lidar	1.9879	11.587	1.61462	11.3416	1.71179	4.85948	1.52832	5.09414	0.304708	0.282942
1477010445150000	11.6248	1.68929	5.03592	0.265609	0.171765	radar	0.74103	11.4763	1.53917	11.584	1.78992	4.83313	1.59551	5.08968	0.318855	0.288846
1477010445200000	11.8536	1.75527	5.0159	0.274942	0.172779	lidar	0.298508	11.7788	1.74591	11.8251	1.87144	4.80531	1.66366	5.08515	0.333298	0.294705
1477010445250000	12.1113	1.84516	5.10964	0.290044	0.179121	radar	1.5327	12.136	2.14937	12.0647	1.95639	4.77598	1.73273	5.08058	0.348033	0.300517
1477010445300000	12.3539	1.8769	5.08941	0.280229	0.15699	lidar	0.608753	12.3226	1.78353	12.3029	2.04482	4.74508	1.80265	5.07596	0.363059	0.306282
1477010445350000	12.6108	1.93929	5.15942	0.281595	0.148097	radar	0.881854	12.5457	1.77728	12.5394	2.13677	4.71257	1.87338	5.07128	0.378373	0.311998
1477010445400000	12.8116	2.07203	5.11982	0.320628	0.185679	lidar	3.33547	12.5924	2.17509	12.7743	2.23227	4.67842	1.94485	5.06656	0.393973	0.317665
1477010445450000	13.0806	2.1812	5.24822	0.33713	0.191887	radar	3.21698	13.2198	2.6644	13.0075	2.33137	4.64258	2.01701	5.0618	0.409856	0.323282
1477010445500000	13.2852	2.32156	5.21405	0.374636	0.225007	lidar	2.63372	13.0875	2.40708	13.2388	2.43409	4.605	2.08981	5.057	0.42602	0.328848
1477010445550000	13.4628	2.46141	5.03875	0.416476	0.265662	radar	11.1173	12.7087	3.12439	13.4682	2.54047	4.56565	2.16317	5.05217	0.442462	0.334362
1477010445600000	13.7129	2.57947	5.07619	0.433562	0.26994	lidar	0.907721	13.836	2.62479	13.6955	2.65053	4.52448	2.23703	5.0473	0.459181	0.339823
1477010445650000	13.9324	2.69078	5.0466	0.450572	0.274975	radar	0.199385	13.8302	2.73893	13.9208	2.7643	4.48147	2.31134	5.0424	0.476172	0.34523
1477010445700000	14.1617	2.8458	5.07903	0.482686	0.296302	lidar	0.711764	14.2106	2.94205	14.1439	2.88179	4.43656	2.38601	5.03748	0.493433	0.350583
1477010445750000	14.4127	2.95865	5.18231	0.487005	0.280034	radar	1.39594	14.5568	2.87021	14.3646	3.00303	4.38974	2.46099	5.03253	0.510962	0.355881
1477010445800000	14.6185	3.03163	5.11692	0.483276	0.259705	lidar	2.20849	14.4616	2.90734	14.583	3.12802	4.34097	2.5362	5.02756	0.528756	0.361122
1477010445850000	14.8508	3.18723	5.20145	0.507779	0.270598	radar	3.68871	14.6754	3.96041	14.7989	3.25679	4.29021	2.61157	5.02257	0.546812	0.366307
1477010445900000	15.0605	3.38002	5.22942	0.551064	0.305158	lidar	1.15627	15.0261	3.5067	15.0122	3.38932	4.23744	2.68703	5.01757	0.565128	0.371433
1477010445950000	15.2712	3.54555	5.1885	0.582315	0.327019	radar	2.65916	15.3685	4.14761	15.2228	3.52563	4.18263	2.76249	5.01256	0.583699	0.376501
1477010446000000	15.4861	3.73388	5.22524	0.616632	0.347712	lidar	0.653988	15.5236	3.82936	15.4306	3.66572	4.12575	2.83789	5.00754	0.602525	0.381509
1477010446050000	15.6968	3.86842	5.20096	0.627286	0.340487	radar	0.990227	15.7234	3.4105	15.6355	3.80957	4.06678	2.91315	5.00251	0.6216	0.386458
1477010446100000	15.9186	4.01215	5.2074	0.637635	0.332714	lidar	0.19865	15.9774	4.00094	15.8375	3.95719	4.00571	2.98817	4.99749	0.640923	0.391345
1477010446150000	16.1136	4.17184	5.12494	0.662862	0.348146	radar	1.74243	16.3376	4.21632	16.0363	4.10854	3.94251	3.0629	4.99246	0.66049	0.39617
1477010446200000	16.3109	4.36727	5.1571	0.694806	0.364798	lidar	0.408982	16.3313	4.44499	16.2319	4.26363	3.87716	3.13723	4.98744	0.680299	0.400933
1477010446250000	16.5212	4.53196	5.18389	0.70831	0.358175	radar	0.633096	16.7586	4.48231	16.4242	4.42242	3.80966	3.21109	4.98243	0.700345	0.405632
1477010446300000	16.6987	4.69888	5.15991	0.728764	0.361218	lidar	0.505804	16.6039	4.67344	16.613	4.5849	3.74	3.28438	4.97743	0.720627	0.410268
1477010446350000	16.8521	4.88208	5.00537	0.768904	0.398314	radar	4.18988	16.9236	5.10119	16.7983	4.75103	3.66817	3.35704	4.97244	0.74114	0.414838
1477010446400000	17.0155	5.10865	5.04611	0.810747	0.423368	lidar	0.727719	16.9955	5.21099	16.9799	4.92077	3.59416	3.42897	4.96747	0.761882	0.419343
1477010446450000	17.1861	5.2737	5.00372	0.826921	0.419769	radar	1.58293	17.3421	4.64623	17.1579	5.09409	3.51797	3.50008	4.96252	0.782849	0.423782
1477010446500000	17.3436	5.45547	4.98868	0.848889	0.420956	lidar	0.175148	17.2894	5.43542	17.3319	5.27094	3.4396	3.57028	4.9576	0.804038	0.428154
1477010446550000	17.5007	5.61795	4.92269	0.864959	0.418587	radar	2.98084	17.6463	4.74597	17.5019	5.45128	3.35907	3.63949	4.9527	0.825446	0.432459
1477010446600000	17.6907	5.74259	4.87501	0.855385	0.383981	lidar	1.4881	17.7853	5.62476	17.6679	5.63506	3.27637	3.70762	4.94783	0.847069	0.436695
1477010446650000	17.8365	5.93127	4.81966	0.883529	0.399472	radar	0.841987	17.9216	6.07151	17.8297	5.82221	3.19151	3.77458	4.943	0.868904	0.440862
1477010446700000	18.0085	6.12642	4.8502	0.900167	0.395626	lidar	0.826945	18.1263	6.16985	17.9872	6.01269	3.10453	3.84027	4.9382	0.890947	0.444959
1477010446750000	18.16	6.33085	4.87689	0.922778	0.398058	radar	0.792596	18.1245	6.79027	18.1402	6.20641	3.01542	3.90462	4.93344	0.913195	0.448987
1477010446800000	18.281	6.57339	4.91748	0.964772	0.42306	lidar	0.781077	18.2164	6.66138	18.2888	6.40332	2.92421	3.96753	4.92872	0.935644	0.452943
1477010446850000	18.4143	6.78347	4.90978	0.990923	0.430589	radar	0.266878	18.4022	7.02231	18.4328	6.60333	2.83093	4.0289	4.92404	0.958291	0.456828
1477010446900000	18.5601	6.9203	4.82407	0.986544	0.401478	lidar	1.6403	18.5422	6.76013	18.572	6.80638	2.7356	4.08867	4.91942	0.981133	0.46064
1477010446950000	18.7104	7.12699	4.88645	0.997241	0.385356	radar	0.752011	18.8089	7.24388	18.7064	7.01237	2.63825	4.14672	4.91484	1.00417	0.46438
1477010447000000	18.9056	7.26815	4.84578	0.976863	0.340864	lidar	3.78114	19.1441	7.18344	18.8359	7.22122	2.53893	4.20299	4.91032	1.02738	0.468047
